languages_used,index_numbers,mixed_clip_filename,transcripts,utterance_ids,total_duration
"hi, hi, hi, hi, hi, ne-NP","3240, 2705, 1023, 3817, 1861, 85",mixed_clip_47.wav,यहीं मिल लेते हैं। | इन लोगों को जाने दो। | झारखंड: भरोसे के नए आधार स्तंभ | कोई अच्छा वाला दीजिए। | फैक्ट चेक: हाथी ने लोगों से भरी बस को खाई में गिरने से बचाया? | अल्ली सेलाको हो कि?,"3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e",18.971999999999998
"hi, hi, hi, hi, hi","330, 2480, 3223, 1520, 884",mixed_clip_48.wav,जापान में घर के अंदर जाने के समय जूते उतारे जाते हैं। | आप ने उनसे शादी क्यों की? | यहाँ बहुत गरम है। | रेलवे को नहीं पता मोदी ने कब बेची चाय | डिंपल कपाड़िया की कॉमेडी फिल्म व्हाट द फिश का प्रचार करेंगी पूनम पांडे,"0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3",22.031999999999996
"hi, ne-NP, hi, hi, hi","3072, 128, 2805, 2083, 96",mixed_clip_49.wav,"उन्हें टॉम दिखा। | काठमाडौं कहिले आइस केटा? | एग्जिट पोल मामलाः जागरण ऑनलाइन के संपादक गिरफ्तार | हाशिम अमला होंगे साउथ अफ्रीका के टेस्ट कप्तान, स्मिथ की जगह लेंगे | तुमने अपनी कमीज़ उलटी पहनी हुई है।","3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3",19.044
"hi, hi, hi, hi, hi","724, 2125, 4294, 662, 2306",mixed_clip_50.wav,उस दुर्घटना में कई लोगों की मौत हो गयी। | अन्याय के खिलाफ दिव्यांग छात्र-छात्राएं सड़क पर और पीएम मोदी ट्विटर पर! | कितने सुरक्षित हैं पाकिस्तान के एटमी हथियार? | मैं कल कनाडा वापस आऊँगा। | 'अलोन' का फर्स्ट लुक: दो अवतार में बिपाशा,"0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc",20.124000000000002
"hi, hi, hi, hi","2708, 4185, 2080, 1143",mixed_clip_51.wav,वाराणसी लोकसभा चुनाव पर डॉक्यूमेंट्री को सेंसर बोर्ड की अनुमति नहीं मिली: फिल्मकार | स्वाति मालीवाल के दखल के बाद सदर बाजार में महिला पुलिस की तैनाती | तेल की धार पर रपट गए उपभोक्ता | अमिताभ बच्चन ने ट्विटर पर अपशब्द कहने वालों को किया शुक्रिया,"3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc",18.072
"hi, hi, hi, hi","1831, 2103, 1737, 335",mixed_clip_52.wav,भोपाल: बाढ़ में बह गए शादी के अरमान | जीत से कम कुछ नहीं चाहिए नागपुर में: एलिस्टेयर कुक | Opinion: एक कैच जिता सकता है मैच और वर्ल्ड कप | सार्वजनिक उपक्रमों को कमजोर नहीं मजबूत करना चाहते हैं: प्रणब,"d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3",22.212000000000003
"hi, hi, hi, ne-NP, hi","1944, 667, 3023, 129, 1858",mixed_clip_53.wav,मेट्रो ट्रेन के सामने लड़की ने लगाई छलांग | तुम्हारा कुत्ता बहुत बड़ा है। | बाइक के साथ इस शख्स को भी कानपुर पुलिस ने क्रेन से टांग दिया | अब हाम्रो वाक्यहरु चै अलि काम गराउने खालको राखौँ है । | एक क्लिक में पढ़ें मंगलवार दिनभर की सभी बड़ी खबरें,"d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc",20.195999999999998
"hi, hi, hi, hi, hi","1972, 3406, 1779, 13, 4130",mixed_clip_54.wav,डिम्पी और राहुल महाजन लेंगे तलाक? | उत्पन्ना एकादशी का व्रत हर मनोकामना पूरी करने वाला है | साबुन में मौजूद तत्वों से गर्भपात का खतरा | गुजरात कांग्रेस की सरदार संदेश यात्रा संपन्न | उद्योगों की कब्रगाह रायबरेली,"d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a",18.468
"ne-NP, hi, hi, hi, hi","47, 3296, 3113, 2695, 60",mixed_clip_55.wav,नजिते पनि के भो र! | त्वचा कैंसर के भय से बढ़ता है सन्सक्रीन का इस्तेमाल | चैपल के कहने पर धोनी क्यों छोड़ें कप्तानी? | लंदन ओलंपिक: क्वार्टर फाइनल में पहुंचे विजेंदर | वह सुबह से रात तक काम करता है।,"9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3",18.36
"hi, hi, hi, hi, ne-NP","2699, 2362, 2592, 1477, 129",mixed_clip_56.wav,"राष्ट्रमंडल खेल घोटाला: संजय महेंद्रू और टीएस दरबारी गिरफ्तार | आरएसएस प्रमुख मोहन भागवत बोले, भारत की जमीन है पाकिस्तान | तुम स्टारक्राफ़्ट बड़ी अच्छी तरह से खेलते हो। | आराम हराम होने वाला है कोर्ट में | हामिले मागेको खण्डमा उपलब्ध गराईन्छ होला त तथ्यांक?","3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e",22.608
"ne-NP, hi, hi, hi, hi","123, 913, 95, 1125, 3184",mixed_clip_57.wav,वाक्यहरु सकेसम्म पुरा लेखौ है साथीहरु । | दूसरा मकान खरीदने पर कितना मिलता है इनकम टैक्स में फायदा? | वह लंदन तीन बार जा चुका है। | यूपी में तस्करों ने गोली मारकर की दारोगा की हत्या | पिताजी कहाँ हैं?,"9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a",19.584
"hi, hi, hi, ne-NP","1360, 1967, 2635, 18",mixed_clip_58.wav,भारत पर फिर से हमले की फिराक में है लश्कर | क्यों हॉस्टल लाइफ होती है सबसे बेस्ट? | आज मेरी बहन का जन्मदिन है। | प्रतियोगिताको तुल पढेपछि टोम्मी रिसी रिक्सा अनि टेक टुक् टुक् भेट्न उत्निखेरै हिँड्यो ।,"d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e",19.368000000000002
"hi, ne-NP, hi, hi","1985, 41, 1681, 2220",mixed_clip_59.wav,"प्रियंका चोपड़ा ने सिक्किम को बताया उग्रवाद प्रभावित राज्य, लोगों ने किया ट्रोल | अहिले आएर इरानले पनि सोही घोषणा गरेको हो । | क्रिकेट इतिहास का सबसे छोटा छक्का, वीडियो हुआ वायरल | शाहरुख ने बच्चों के साथ कुछ ऐसे उठाया छुट्टी का लुत्फ","d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc",19.944
"hi, hi, hi, hi, hi","359, 2208, 3569, 249, 485",mixed_clip_60.wav,"क्या किसी ने कभी तुम्हारा दिल तोड़ा है? | मौत से लड़ती पत्नी को अस्पताल में छोडकर भागा पति | नहीं मिली इजाजत, मोदी के गढ़ में टला अखिलेश-राहुल का रोड शो | आपको लाईन में लगकर इंतेज़ार करना पड़ेगा। | क्या टॉम ने मेरे बारे में पूँछा?","0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3",21.024
"hi, hi, hi, hi, hi","4161, 3350, 2124, 3678, 1686",mixed_clip_61.wav,भारत के पास गंभीर-सहवाग को बदलने की योजना नहीं: अकरम | विकास के लिए बहुगुणा ने केंद्र से मांगी मदद | यूपी के डीजीपी बोले- ज्यादातर झूठे होते हैं धार्मिक उत्पीड़न के मामले | बर्ट के उभयलैंगिकता से टॉम परेशान था और मैरी उत्तेजित। | पश्चिमी डेडीकेटेड फ्रंट कोरिडोर के सभी कांट्रैक्ट आवंटित किए गए,"3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc",23.58
"hi, hi, hi, ne-NP","1085, 3845, 2308, 59",mixed_clip_62.wav,"पूर्वोत्तर भारत में भूकंप के झटके, नुकसान नहीं | लंदन में बलूचिस्तान के समर्थन में लगे पोस्टर, Pak समर्थकों ने फाड़ा | देश के कई हिस्से लू की चपेट में, दिल्ली में बढ़ा तापमान | तिमी के के गर्न सक्छौ?","d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e",18.540000000000003
"hi, hi, hi, hi","621, 1921, 1966, 1962",mixed_clip_63.wav,मैं जो भी कहता हूँ वह मेरा यकीन कर लेता है। | अगर युद्ध हुआ तो भारत इसके लिए पूरी तरह तैयार: एयर चीफ मार्शल धनोआ | गुजरात लोकायुक्त मामले पर फैसला आज | 'बहू हमारी रजनीकांत' में करण की जगह होंगे मोहित!,"0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc",20.232
"ne-NP, hi, ne-NP, hi","23, 25, 159, 2886",mixed_clip_64.wav,"रीट जारी भएसंगै चन्द रिहा भएका छन् । | मैग्सेसे अवॉर्डी संदीप पांडे का आरोप, पुलिस ने किया नजरबंद | मामाघर गाउँमा छ, रमाइलो ठाउँमा छ । | 'सुनिये वित्त मंत्रीजी' में बोले रविशंकर प्रसाद, सरकार चलाने के लिए निर्णय जरूरी","b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, 0142a5d130e7fb1d6435cf711c230cda2631aac457b40578f78ce5379713dfeca4a804e61706697ffa10adf0667f4d17ae2acc739859b1b338332fc346a080d5, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a",19.439999999999998
"hi, hi, hi, hi, hi, hi, hi","253, 2775, 3982, 4224, 635, 3045, 4141",mixed_clip_65.wav,यहाँ बैठ जाते है। | वह फ़्लैट में अकेले रहती है। | मुझे आपकी बहुत याद आयी। | 'काला' के बाद एआर मुरुगदौस की फिल्म में नजर आ सकते हैं रजनीकांत | चाहकर भी प्रेग्नेंट नहीं हो पा रही हैं किम कार्दाशियां | मैं पास्ता खाती हूँ। | हथियारबंद बदमाशों ने पेट्रोलकर्मी को गोली मार कर रुपये लूटे,"0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a",22.464
"hi, hi, hi, ne-NP, hi","440, 3512, 1935, 248, 827",mixed_clip_66.wav,"एक और गिलास चाय लेंगे क्या? | मुझे तुम्हारे साथ वक़्त बिताना अच्छा लगता है। | रेल यात्रियों के लिए खुशखबरी, हमसफर से हटा फ्लेक्सी फेयर, जुड़ेंगे स्लीपर कोच | पसिना भो खलखल । | सारा की मां ने देखा केदारनाथ का टीजर, बताया कैसा लगा बेटी का काम","0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 0142a5d130e7fb1d6435cf711c230cda2631aac457b40578f78ce5379713dfeca4a804e61706697ffa10adf0667f4d17ae2acc739859b1b338332fc346a080d5, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3",21.996
"hi, hi, hi, hi, hi","4061, 4045, 1590, 932, 479",mixed_clip_67.wav,"उच्च शिक्षा में आरक्षणः भारी न पड़े नाराजगी! | यूपीः गाजियाबाद में पुलिस और बदमाशों के बीच मुठभेड़, तीन को लगी गोली | गोधरा नरसंहार: इंसाफ की डगर पर | शत्रुघ्न सिन्हा के साथ कीर्ति आजाद भी लड़ सकते हैं कांग्रेस से चुनाव! | अमेरिकी विदेश मंत्री राइस इस्लामाबाद पहुंची","3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3",21.635999999999996
"hi, hi, hi, hi","1597, 1815, 3156, 4261",mixed_clip_68.wav,क्या कांस्टेबल स्नेहा की खूबसूरती ही बनी उनकी मौत की वजह? | भिवानी ने केजरीवाल के रूप में देश को दिया चौथा मुख्यमंत्री | मेजर गोगोई को सम्मानित करने की हर तरफ हो रही तारीफ | पीएम पद पर तेजस्वी का बड़ा बयान- ज्यादा सीटें जीते तो हम करेंगे दावेदारी,"d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a",19.044
